한식,중식,일식,양식,아시안,패스트푸드,스낵/카페/디저트,금융,면세점(명품브랜드),면세점(향수/화장품),면세점(주류/담배),휴대폰로밍,가격대(만원),Label,거리(m),게이트거리(m),총거리(m),위도,경도,매장명,Sector
1,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,675.1228566653784,,37.455678000000006,126.444302,밥이답이다,7
1,0,0,0,0,0,0,0,0,0,0,0,1.0,1,,505.041781328442,,37.449146,126.450099,비비고,1
1,0,0,0,0,0,0,0,0,0,0,0,1.1,1,,618.0562866655708,,37.45630300000001,126.445381,손수김밥,7
0,0,0,1,0,0,0,0,0,0,0,0,1.2,10,,625.388864024229,,37.456376,126.445338,남산왕돈까스,7
0,0,0,1,0,0,0,0,0,0,0,0,2.5,10,,146.66846248737534,,37.452237,126.451477,라그릴리아 비스트로 바,5
0,0,0,0,1,0,0,0,0,0,0,0,1.0,7,,836.2470834360468,,37.4466,126.447867,사누끼보레,2
0,0,0,0,1,0,0,0,0,0,0,0,1.3,7,,598.666462186044,,37.449874,126.44652,스트릿,3
0,0,0,0,1,0,0,0,0,0,0,0,1.2,7,,683.9156423405868,,37.455648,126.444182,케르반,7
0,1,0,0,0,0,0,0,0,0,0,0,1.3,8,,683.2899286260705,,37.455772,126.444248,케세이호,7
0,0,0,1,0,1,0,0,0,0,0,0,0.7,9,,351.58633599200516,,37.450471,126.452341,롯데리아,4
0,0,0,1,0,1,0,0,0,0,0,0,1.2,9,,765.9813071553863,,37.447225,126.448048,모스버거,2
0,0,0,0,1,0,0,0,0,0,0,0,1.2,7,,782.9447571800849,,37.454456,126.442671,하이면우동,7
0,0,0,1,0,0,0,0,0,0,0,0,1.6,10,,234.63171299384703,,37.451487,126.45199,공닭,5
0,0,0,0,0,0,1,0,0,0,0,0,0.6,2,,695.5164135251807,,37.44781,126.448355,공차,2
0,0,0,0,0,0,1,0,0,0,0,0,0.6,2,,164.11934249159992,,37.452081,126.451535,던킨도너츠1호점,5
0,0,0,0,0,0,1,0,0,0,0,0,0.7,2,,434.93813990612585,,37.450517,126.45457,던킨도너츠2호점,6
